"Depth","AverageTime","AverageSolutionLength","AverageVisitedStates","AverageProcessedStates","AverageMaxDepth","SolutionCount","CaseCount"
"1","0.102","1","3","3","1","16","16"
"2","0.323","2","10.75","9","2","32","32"
"3","0.68","3","28.7","21.3","3","80","80"
"4","1.592","4","62.5","44.25","4","192","192"
"5","3.041","5","129.83","90.17","5","432","432"
"6","6.29","6","282.64","192.91","6","856","856"
"7","13.881","7","622.54","419.43","7","1696","1696"
