"Depth","AverageTime","AverageSolutionLength","AverageVisitedStates","AverageProcessedStates","AverageMaxDepth","SolutionCount","CaseCount"
"1","26.841","10","843.12","134.25","10.5","16","16"
"2","8.856","13.25","278.75","68.19","13.25","32","32"
"3","60.733","15.8","1898.3","221.7","16.6","80","80"
"4","93.341","19","2917.36","265.59","19","192","192"
"5","1052.27","18.74","33923.42","1239.05","19.72","432","432"
"6","1737.506","19.93","56522.29","1548.53","19.93","856","856"
"7","11196.123","19","365638.16","5295.19","20","1696","1696"
